issuenumber,title,issue_summary,resolution
41354,Data Depot Access Issue,The user requested access to Data Depot folders for a specific user account. The user reported that access was not working earlier.,The support team confirmed that the user had access to the requested folders. The user confirmed that access was working after further testing.
77554,Bell core limits,"The user is seeking to run large datasets on Bell, which currently has a maximum memory limit of 128 GB through certain accounts. They need more than 64 cores to run their codes efficiently but are unsure how to achieve this for several hours.","The support team provided three possible solutions: 1) Submit jobs to the 'standby' queue with more than 64 cores if the job can complete within 4 hours. 2) Submit jobs to the 'highmem' queue with fewer cores if the job can complete within 24 hours, as each node on this queue has approximately 8 GB of memory. 3) Consult with Professor name to discuss additional resource purchases if the job requires more than 1 day and exceeds the current resource limits."
628457,Is Gilbreth down?,The user reported that they were unable to connect to the Thinlinc service on the Gilbreth cluster since 15:00.,The support team confirmed that the Gilbreth cluster was under maintenance and advised the user to try connecting again in a few days. The user was also informed that they could reach out via the ticket for further assistance. Subsequent messages indicated that the user did not respond to follow-up inquiries about their access status.
755923,Gilbreth GPU lammps job submission error,The user encountered an error when running a Docker SIF file for GPU-accelerated LAMMPS simulations on Gilbreth. The error message indicated a missing groupid and a version mismatch for the GLIBC library.,The support team suggested unloading the conflicting utility (xalt) from the user's environment by adding the command `module -f unload xalt` to the job script. The user confirmed that this resolved the issue.
728077,Down Again,The user reported connectivity issues with the Gilbreth cluster.,"The support team informed the user that they are currently removing inactive users from clusters, including Gilbreth. Users who were removed by mistake can have their access restored through normal access channels. The user was advised to contact their PI for re-addition to the cluster."
566554,Gilbreth Job,The user requested an extension of the maximum time for a job on Gilbreth from 4 hours to 8 hours due to inability to run from the last checkpoint.,The support team responded that the job had already finished and recommended checkpoints for long jobs.
397827,Negishi login fail,The user was unable to log into the Negishi cluster and requested account verification.,"The user was advised to use the "" ,push "" authentication method for Duo verification. The user confirmed that this resolved the issue."
287720,Software install_request,The user requested assistance in installing the bioinformatic software Revigo and its associated databases on the cluster. They also requested the creation of a module for the software.,The support team asked for clarification on the storage space requirements and the preferred environment (Windows or Linux) for the software.
490668,Need Schrodinger Fixed on Elk,"The user is experiencing issues with Schrodinger on Elk, including a fatal error message and difficulties updating the license. Additionally, the user needs to install VMD on Elk but requires Sudoers access.","The support team is consulting with a team member knowledgeable about the specific software and will provide further updates. The user was informed that the issue may have been resolved since no further feedback was received. If the user encounters any problems within the next 7 days, the ticket can be reopened."
139107,data depot issue,"The user is experiencing permission errors when trying to access files on a Windows machine from a shared folder on a Linux system. The files are in the /wbayley/mystory directory, and the user is a group manager for the K-12 Science Outreach Group. The user has tried remapping the share and rebooting, but the issue persists.","The support team identified that the files within the /mystory folder have inconsistent permissions. The user was advised to log in to the group storage at https://www.rcac.purdue.edu/account/groups/3129/storage?u=149039&expanded=124341, click the folder under /wbayley, and use the 'Fix File Permissions' option to resolve the permission problem."
154520,About reduced number of available gpus in training queue,"The user reported that the number of available nodes in the training queue on Gilbreth has been reduced, and one node (gilbreth-j000) cannot be pinged. This has resulted in longer-than-usual wait times for jobs submitted to the queue.",The support team notified the engineering team about the issue and advised the user that the training queue on Gilbreth is shared and no specific waiting time can be guaranteed. The engineering team is working to resolve the issue with the affected node. The user was informed that the node will be brought back online as soon as possible.
395444,Purging Policy,"The user received an email about a file purge on Gilbreth and noticed a discrepancy between the email and the output of the ""purgelist"" command. The user was unsure if the files would be purged as scheduled.","The support team confirmed that the user had accessed the files in question using the ""touch"" command, which reset the purge time. The user was advised to find an alternative storage solution, such as data depot, and was provided guidance on how to request access from their advisor. The user reported that they were able to create a folder in data depot and move the files after receiving permission from their advisor."
655805,Request for Troubleshoot on Bell Cluster,The user encountered an error while submitting a job script for running CONVERGE CFD v3.0 on the Bell cluster. The error was related to the runtime library.,"The support team provided updated job submission script with the correct module versions for Intel compilers (ifort) and OpenMPI runtime. The user was advised to load the following modules: `module load intel-oneapi-compilers/2024.2.0` and `module load openmpi/4.1.6`. If MKL library is needed, the user can also load `module load intel-oneapi-mkl/2024.2.2`. The problem was resolved after implementing the suggested changes."
310432,Can not login into WCERES cluster,The user reported being unable to log into the WCERES cluster.,"The support team resolved the issue, but no further details were provided."
613827,[Account: bera89-k] 2/3 nodes available on Gilbreth,The user reported that two out of three nodes on Gilbreth were available on bera89-k and inquired whether this was due to scheduled maintenance or an issue with a job consuming excessive resources. They also asked for clarification on the 'GRES limit' mentioned in the SLURM documentation and how to ensure a true FIFO queue.,"The support team confirmed that all three nodes were available, with some nodes being used by members of the bera89-k group. They explained that the job with the QOSGrpGRES reason was waiting due to reaching the aggregate GRES limit for its QOS. To ensure a true FIFO queue, the user was advised to adjust the job's QOS or resource limits to accommodate the current workload."
