issuenumber,title,issue_summary,resolution
448,Huge pending time for gilbreth cluster,"Jobs are being delayed in the pending queue, sometimes for an hour or more, despite no apparent reason or competition for nodes.","The delay in job start is due to SLURM trying to fit jobs into appropriate slots. This waiting time for owner queue jobs can be up to 4 hours, as resources occupied by shared queues ('debug' and 'standby') are released within this period. Users can check the availability of different nodes using the command `sinfo -s`."
237111,Software Development: Research Software,Post doctoral researcher seeking consultation to update and improve a coarse coding program developed in collaboration with the Computer Science department at Purdue.,"Research software experts from Purdue Information Technology have agreed to meet with the post doctoral researcher for discussing the details about this project. The meeting will be held on Microsoft Teams from 9am-9:30am this Thursday (6/17). If there is a preference for another time or date, please communicate it as soon as possible."
1150,Assistance installing packages.,User is unable to install Python packages in an Anaconda environment due to insufficient permissions.,"To resolve this issue, the user should follow the instructions provided at https://www.rcac.purdue.edu/knowledge/workbench/run/examples/apps/python/packages to install Python packages in an Anaconda environment. In order to create a Conda environment, use the following command:

```bash
conda create -n myenv
```

Replace ""myenv"" with the name of your desired environment. To activate the newly created environment, run:

```bash
conda activate myenv
```

To install a specific package, use the following command format:

```bash
conda install -c conda-forge package_name
```

Replace ""package_name"" with the desired package name. If you encounter any errors during installation, please provide screenshots of the error messages for further assistance. Additionally, loading the correct modules might help resolve the issue; share them if available."
2345,Request of 4 GPUs for an interactive session,"User needs a quote for purchasing four A100 GPUs with NVLink and wants to switch their lab queue to Node J, or have access to a shared training queue that provides NVLink-enabled nodes.","The vendor is currently obtaining a quote for four A100 GPUs with NVLink on Gilbreth (the same configuration as Node J). The estimated price is around $53,000. If the user is interested in purchasing this server, it can be used forever. However, if a more flexible annual subscription is desired, the cost will need to be discussed further. To clarify details and discuss options, the user has been scheduled for a Teams meeting on 8/29/2023 at 3:30pm-4pm (ET). Additionally, the user has been added to the shared training queue on Gilbreth, but it is not designed for single-GPU jobs. For more information about the RPA request form, please visit this link: https://purdue.ca1.name.com/jfe/form/SV_8knpVEgNwhxMU1E"
3248,[RCAC-Cluster-Purchase] Regarding Gilbreth RCAC GPU access,User cannot log into Gilbreth GPU access on Windows using MobaXterm due to uncertainty about password requirements.,"The user needs to use Purdue two-factor authentication for password when logging in. For more information, refer to the user guide at https://www.rcac.purdue.edu/knowledge/gilbreth/accounts."
3249,Regarding Gilbreth RCAC GPU access,"User is unable to log into Gilbreth GPU cluster using MobaXterm on Windows due to an incorrect password. The user suspects that the password might be their email password but has not been able to successfully log in by entering it with "",push"".","To resolve this issue, users should confirm their correct password for Gilbreth GPU cluster access. If it is different from the user's email password, they will need to set a new password on the cluster management portal (e.g., https://portal.hpc.example.com/password-reset). After setting the correct password, users can reattempt logging into the Gilbreth GPU cluster using MobaXterm and their newly configured password. If issues persist, verify that the SSH command being used is ssh <username>@<cluster-address>, where <username> is your username on the cluster and <cluster-address> is the address of the cluster provided by the HPC team."
3787,Unable to log into RCAC. License expired,User 'name' is unable to log into RCAC due to an expired license and needs assistance with renewal.,"- To resolve this issue, the user should contact the group responsible for managing licenses on RCAC. This can be done by emailing [Purdue Information Technology](mailto:Purdue.IT@purdue.edu) or calling their helpdesk at the provided number. - It is essential to provide specific details such as steps taken, error messages, and any other relevant information that might aid in diagnosing and resolving the issue. - Once the license has been renewed, the user should be able to log into RCAC with their username and regular password."
3983,GLIBCXX_3.4.29' not found,User is experiencing intermittent slow response on Gilbreth cluster and having trouble with Conda-installed libraries not found during import.,"- The user suggests that changing login nodes might help to resolve the issue of intermittent slowness in the cluster. - To address the library loading problem, the user was installing packages using both Conda and pip within their depot/prism/data/nguye713 folder on the Gilbreth cluster. It is recommended that users ensure they have the necessary environment variables set and load the appropriate modules before trying to import the libraries. - If the problem persists, it will be reported to the relevant team for further investigation."
275211,Gilbreth H100 GPU Purchase,Unable to find Gilbreth H100 GPU subscription purchase option,"The Gilbreth H100 GPUs are currently sold out and have been removed from the list of purchase options. If there are any further questions or if the ticket needs to be reopened, it can be done within the next 7 days by replying to this email. The Gautschi cluster will be online this fall and will contain GPU partitions. Please stay tuned for updates."
4957,Module loading issues,"User reports sluggish response from bell, intermittent issues loading modules (RCAC or bioinfo), and delays in listing files in both scratch and depot spaces on Bell HPC system at Purdue University.","The user is advised to test the system by logging into different front-end nodes to verify if the problem persists. Additionally, it is suggested that the issue may be related to Depot degraded performance in the past week but has since returned to normal levels. Users can refer to this link for updates on RCAC news: [RCAC News](https://www.rcac.purdue.edu/news/5934). If problems with Depot usage still persist, the user should reach out again for further assistance."
5075,Issues with Gilbreth nodes for Vasp,"The user is experiencing issues with Gilbreth nodes for Vasp, suspected to be due to communication problems between openMPI and new version SLURM after maintenance.","To resolve the issue, the team is conducting tests and having discussions to find a workaround. They are also investigating the possibility that the updated cuda driver might not be compatible with the previous compiler used for VASP GPU (HPC SDK 22.7). The user has been added as a contact in another ticket (TDX #6981) where they can find updates and communicate further. It's recommended to use VASP 6.4.1 on Gilbreth, which is currently available for calculations."
5211,Remove Time Limit on Gilbreth,User requests extension of Gilbreth panli-k queue and job time limit to 45 days.,"The request for extending the time limit for the panli-k queue and individual job has been denied due to HPC policies designed for efficient usage of computational power and optimization of job management and scheduling. An alternative solution is to optimize the workload or discuss potential strategies for the user's computational tasks with the specified contact. If a user has an existing job running on this queue, they can request extending the wall time of the job when it reaches its end day."
5212,Bell Cluster Issue,The user is encountering a failure during the execution of their parallel CFD analysis workflow using OpenMPI and ADflow on Bell Cluster. They are requesting help to resolve the issue.,"The issue appears to be caused by not correctly using the requested number of cores when submitting the Python job. To solve this, the user should use ""srun -n 128 python /path/to/script.py"" instead of ""mpirun -n 1"". This will allocate and utilize all 128 cores as intended. It is also suggested to load the Anaconda module within the script if it has not been loaded already, following the instructions provided at this link: [https://www.rcac.purdue.edu/knowledge/bell/run/examples/apps/python](https://www.rcac.purdue.edu/knowledge/bell/run/examples/apps/python) . The user should consult with their team or visit the Convergence Center for further assistance if necessary."
5217,Gilbreth Cluster Slow Response,"The user is experiencing slow speed and freezing issues with Gilbreth, including trouble logging in, removing files, and starting Jupyter notebook kernels. They also mention that they are facing these problems along with other lab members. They need a solution as soon as possible due to an upcoming deadline.","To troubleshoot the issue, try switching to another login node on Gilbreth. If the problem persists, provide specific details such as affected servers and slow directories for further investigation. Monitor the behavior and report it to the relevant team if necessary. Keep in mind that this is an ongoing issue and updates will be provided accordingly."
5673,Gilbreth is Slow,"Gilbreth is experiencing slowness at the College of Electrical and Computer Engineering, Purdue University.","The RCAC has reported a glitch on Gilberth that is currently being investigated by their engineers. They will keep users informed about the progress. In the meantime, users are advised to check the link for updates regarding Depot performance improvement: [https://www.rcac.purdue.edu/news/5934](https://www.rcac.purdue.edu/news/5934). If problems persist with Gilberth, users are encouraged to report them again for further attention."
6269,issue with intel inspector,"The user is unable to run the command 'inspxe-cl -collect mi3 -result-dir ./inspector_results -- mpiexec -n 1 nemo small.in' on a system named 'name-a017', and an error message about an internal error and missing or empty result directory is returned. The user suspects the problem may be related to the result directory specified in the command, but has also tried running the command without this option with similar results.","To resolve this issue, verify that the specified result directory (/scratch/name/tkubis/code2/prototype/debug_general/inspector_results/inspector_results.inspxe) exists and is not empty before running the command. If necessary, create the directory manually or use an absolute path for the result directory in the command. Here's an example of how to specify an absolute path using 'pwd' (print working directory):

```bash
mkdir -p /path/to/result_directory
inspxe-cl -collect mi3 -result-dir /path/to/result_directory -- mpiexec -n 1 nemo small.in
```"
6333,Issue with my Anylogic (Java) job,The user is experiencing an issue with the AnyLogic Java application on the Bell cluster (job_id: 26534136) due to a 'AWTError: Can't connect to X11 window server using ':5.0'' error.,"The issue is likely caused by a display issue inside of batch jobs. To troubleshoot this problem, the user should request an interactive job in Thinlinc terminal with the command `sinteractive -A cai161 --nodes=1 --cpus-per-task=4 --time=150:00:00`, then run the commands inside of their job submission file (starting from 'module load xxx') within the interactive session. This should provide a display and prevent the error."
391161,Cannot install Conda environment,User cannot create a Conda environment on their scratch space or home directory.,"The user was instructed to change the working directory to their home directory and run the command again. If the user encounters issues with specifying the path, they should provide the full path using `-p` option, which resolved the problem in this case."
458471,Maestro Upgrade,Upgrade of Maestro to latest version (2024-2 or more recent) required on Gilbreth cluster for a group in the bMCMP department. The group is also experiencing an issue with internet connectivity that requires resolution.,"To upgrade Maestro, navigate to the user's depot space at `/depot/name/apps/`. Install the new version of Schrodinger (2024-2 or more recent) in this directory. For the internet connectivity issue, please refer to the provided user guide and follow the steps to fix it: [User Guide Link](https://www.rcac.purdue.edu/knowledge/gilbreth/faq/jobs/errors/firefoxalreadyrunning)"
460735,Assistance with ANSYS Fluent on Negishi Cluster,"- Error with opening Geometry Editor in ANSYS Fluent's Design Modeler.
   - Need guidance to utilize parallel processing power in ANSYS Fluent simulations effectively.","- Schedule a meeting with an RCAC Support staff member for troubleshooting the Geometry Editor issue (Meeting Booking Link provided). - To improve performance and utilize more processing power, use the ""sinteractive"" command to allocate compute nodes when running ANSYS Fluent simulations on the Negishi cluster. The following example demonstrates using the sinteractive command:
     ```
     sinteractive -A standby -N2 -n256
     ```
   - This command will allocate 256 CPU cores across 2 nodes for your simulation, but adjust the number of nodes (-N) and cores (-n) according to your specific needs. For more details on the ""sinteractive"" command, refer to this documentation: [https://www.rcac.purdue.edu/knowledge/negishi/run/examples/slurm/interactive](https://www.rcac.purdue.edu/knowledge/negishi/run/examples/slurm/interactive)
   - If you are running simulations through ThinLinc, it is also recommended to use the ""sinteractive"" command in that setup. - Time limits for the interactive command using the ""standby"" queue are 4 hours. For longer wall times, contact RCAC Support for further details."
6477,unable to pip install or pip3 install,Unable to perform 'pip install' or 'pip3 install' on Bell HPC cluster at Purdue University.,"The recommended solution is to install packages using conda install instead of pip. A guide for this process can be found here: [https://www.rcac.purdue.edu/knowledge/bell/run/examples/apps/python/packages#installing_with_conda]. Additionally, it's recommended to use 'python -m pip install' command instead of 'pip install', as this ensures that the package is installed under your own conda environment which should resolve permission issues."
